record,pclass,survived,sex,age,sibsp,parch,fare,embarked
773,Upper,No,male,45.5,0,0,28.5,S
774,Lower,No,female,22,2,0,8.6625,S
775,Middle,No,male,21,0,0,73.5,S
776,Upper,Yes,male,6,0,2,134.5,C
777,Upper,Yes,female,36,0,0,262.375,C
778,Lower,No,male,28,0,0,56.4958,S
779,Lower,No,female,37,0,0,7.75,Q
780,Lower,No,male,28,0,0,22.525,S
781,Lower,No,female,14,0,0,7.8542,S
782,Lower,No,male,16,0,0,9.2167,S
783,Middle,No,male,14,0,0,65,S
784,Lower,No,male,25,0,0,7.05,S
785,Lower,No,male,21,0,0,8.05,S
786,Lower,No,male,32,0,0,8.05,S
788,Upper,No,female,63,1,0,221.7792,S
789,Upper,Yes,female,31,0,2,164.8667,S
790,Upper,No,male,42,1,0,52,S
791,Upper,No,male,21,0,1,77.2875,S
792,Middle,No,male,32,2,0,73.5,S
793,Lower,No,male,30,1,0,16.1,S
794,Middle,Yes,female,24,1,0,26,S
795,Lower,No,female,6,4,2,31.275,S
797,Lower,No,male,22,0,0,7.8958,S
798,Middle,No,male,19,0,0,13,S
800,Middle,No,male,29,1,0,21,S
801,Lower,No,female,27,1,0,7.925,S
802,Upper,Yes,female,16,0,1,57.9792,C
803,Lower,No,male,21,2,0,24.15,S
804,Lower,Yes,male,0.8333,0,1,9.35,S
805,Lower,No,male,28,0,0,7.8958,S
807,Upper,Yes,male,56,0,0,35.5,C
808,Middle,No,male,38,1,0,21,S
809,Lower,No,male,21,0,0,8.05,S
810,Middle,No,male,30,1,0,21,S
812,Upper,No,male,38,0,0,0,S
813,Lower,No,male,24,0,0,7.8958,S
814,Lower,No,female,21,0,0,8.6625,S
815,Lower,No,female,9,2,2,34.375,S
816,Upper,No,male,30,1,2,151.55,S
817,Lower,Yes,male,0.4167,0,1,8.5167,C
818,Lower,No,male,35,0,0,7.125,S
819,Middle,No,male,36,1,2,27.75,S
820,Upper,No,male,67,1,0,221.7792,S
821,Lower,Yes,female,45,1,0,14.1083,S
822,Middle,Yes,female,48,1,2,65,S
824,Lower,No,male,65,0,0,7.75,Q
825,Lower,No,female,30,1,1,24.15,S
827,Lower,Yes,female,27,0,1,12.475,S
828,Lower,No,male,32,1,0,15.85,S
829,Middle,Yes,female,31,0,0,21,S
830,Middle,Yes,female,25,1,1,30,S
831,Lower,No,male,43,0,0,8.05,S
832,Upper,Yes,female,33,0,0,27.7208,C
833,Lower,No,male,17,0,0,8.6625,S
835,Lower,Yes,female,33,3,0,15.85,S
836,Middle,Yes,female,29,1,0,26,S
837,Lower,No,male,25,0,0,7.7417,Q
838,Lower,No,male,39,0,0,7.925,S
839,Upper,No,male,30,0,0,26,S
840,Lower,No,female,20,0,0,8.6625,S
841,Upper,Yes,female,53,0,0,27.4458,C
844,Upper,No,male,39,0,0,0,S
845,Upper,No,male,36,1,0,78.85,S
846,Upper,Yes,female,32,0,0,76.2917,C
850,Lower,No,female,30,0,0,7.6292,Q
852,Lower,No,male,20,0,0,7.8542,S
854,Lower,Yes,male,18,0,0,8.05,S
855,Lower,Yes,male,9,1,1,15.9,S
856,Middle,Yes,female,4,2,1,39,S
857,Upper,Yes,female,58,0,1,153.4625,S
858,Middle,Yes,female,50,0,0,10.5,S
859,Middle,No,male,30,0,0,13,S
860,Lower,No,male,21,0,0,7.8542,S
861,Lower,No,male,22,0,0,7.8958,S
862,Lower,No,male,4,3,2,27.9,S
863,Middle,Yes,male,19,0,0,10.5,S
865,Middle,Yes,female,18,0,2,13,S
867,Lower,No,male,20,0,0,7.8542,S
868,Upper,Yes,female,35,0,0,135.6333,S
869,Lower,Yes,female,30,0,0,6.95,Q
870,Lower,No,male,16,0,0,9.5,S
871,Lower,Yes,female,17,4,2,7.925,S
872,Upper,Yes,female,33,0,0,151.55,S
873,Lower,No,male,23.5,0,0,7.2292,C
874,Upper,Yes,female,23,0,1,83.1583,C
876,Lower,No,female,18.5,0,0,7.2833,Q
877,Middle,No,male,18,0,0,10.5,S
878,Lower,No,male,25,0,0,7.25,S
879,Lower,No,male,25,0,0,7.925,S
880,Lower,Yes,female,19,1,1,15.7417,C
881,Lower,No,male,20,0,0,7.8542,S
882,Lower,Yes,female,9,1,1,15.2458,C
884,Middle,Yes,male,32,1,0,26,S
887,Upper,Yes,female,55,2,0,25.7,S
888,Upper,Yes,female,51,0,1,39.4,S
891,Middle,No,male,42,0,0,13,S
892,Lower,Yes,male,7,1,1,15.2458,C
893,Lower,No,male,23,0,0,9.225,S
894,Lower,Yes,female,5,4,2,31.3875,S
896,Lower,No,male,33,0,0,7.8958,C
898,Middle,Yes,female,17,0,0,10.5,S
899,Middle,Yes,female,20,1,0,26,S
900,Lower,No,female,29,0,0,7.925,S
901,Lower,No,male,50,0,0,8.05,S
902,Upper,Yes,female,25,1,0,55.4417,C
903,Lower,No,male,11,0,0,18.7875,C
905,Middle,No,male,35,0,0,26,S
906,Lower,No,male,6,1,1,15.2458,C
907,Middle,No,male,43,0,1,21,S
908,Lower,No,male,18,0,0,7.75,S
909,Upper,Yes,female,26,1,0,136.7792,C
910,Lower,Yes,male,30,0,0,9.5,S
911,Lower,Yes,female,18,0,0,9.8417,S
912,Lower,Yes,male,4,1,1,11.1333,S
913,Lower,No,male,41,2,0,14.1083,S
914,Lower,No,male,31,0,0,7.75,Q
915,Upper,No,male,38,0,1,153.4625,S
916,Upper,Yes,female,23,3,2,263,S
918,Middle,Yes,female,3,1,2,41.5792,C
920,Upper,Yes,female,28,3,2,263,S
921,Lower,No,female,22,0,0,10.5167,S
923,Upper,Yes,male,36,0,0,26.2875,S
924,Middle,Yes,female,1,1,2,41.5792,C
925,Upper,Yes,female,36,0,0,135.6333,C
926,Lower,No,male,28,0,0,9.5,S
928,Lower,No,female,28,1,1,14.4,S
929,Upper,Yes,female,30,0,0,31,C
930,Lower,No,male,22,0,0,9,S
932,Middle,No,female,27,1,0,21,S
933,Lower,Yes,female,24,0,0,7.75,Q
935,Upper,No,male,46,1,0,61.175,S
936,Lower,No,male,25,0,0,7.8958,S
937,Middle,No,male,27,1,0,26,S
938,Middle,No,female,57,0,0,10.5,S
940,Upper,Yes,female,51,1,0,77.9583,S
941,Upper,Yes,male,49,1,0,89.1042,C
942,Middle,Yes,female,36,0,3,39,S
943,Lower,No,male,20,0,0,8.6625,S
944,Lower,No,male,27,0,0,7.8542,S
945,Middle,No,male,40,0,0,16,S
946,Lower,No,male,28,0,0,22.525,S
948,Upper,No,male,42,0,0,26.55,S
949,Lower,No,female,17,0,0,7.7333,Q
950,Upper,Yes,female,50,1,1,211.5,C
951,Lower,Yes,female,27,0,0,7.925,S
952,Lower,No,male,21,0,0,7.25,S
953,Lower,No,male,7,4,1,29.125,Q
954,Lower,No,female,16,5,2,46.9,S
955,Upper,No,male,64,0,0,26,S
956,Upper,Yes,female,38,1,0,71.2833,C
958,Upper,No,male,57,1,0,146.5208,C
959,Lower,Yes,female,45,0,0,7.225,C
960,Upper,No,male,45,0,0,26.55,S
961,Lower,No,male,19,0,0,7.8958,S
962,Upper,No,male,28.5,0,0,27.7208,C
963,Upper,No,male,36,0,0,75.2417,C
964,Lower,No,female,41,0,5,39.6875,S
965,Lower,No,female,9,1,1,15.2458,C
966,Lower,No,male,2,4,1,29.125,Q
967,Middle,Yes,female,30,3,0,21,S
968,Lower,No,female,21,1,0,9.825,S
969,Lower,No,male,30.5,0,0,8.05,S
970,Lower,No,male,17,0,0,8.6625,S
971,Middle,No,male,34,1,0,26,S
972,Lower,No,male,19,0,0,14.5,S
973,Lower,Yes,male,26,0,0,18.7875,C
974,Middle,Yes,female,28,0,0,13,S
975,Upper,No,male,62,0,0,26.55,S
976,Upper,Yes,female,19,0,0,30,S
977,Lower,No,male,4,4,2,31.275,S
979,Lower,No,male,19,0,0,0,S
980,Lower,No,male,41,0,0,7.85,S
981,Lower,Yes,female,38,0,0,7.2292,C
982,Middle,No,male,36.5,0,2,26,S
984,Upper,Yes,female,40,0,0,153.4625,S
985,Lower,No,male,43,0,0,6.45,S
987,Middle,No,male,18.5,0,0,13,S
988,Upper,Yes,female,38,0,0,80,
989,Lower,No,male,6,3,1,21.075,S
990,Middle,No,male,30,1,1,26,S
994,Lower,No,male,22,0,0,7.7958,S
995,Upper,Yes,female,37,1,0,90,Q
996,Lower,Yes,male,22,0,0,7.225,C
997,Upper,No,male,28,1,0,82.1708,C
998,Middle,No,male,31,1,1,26.25,S
1000,Lower,Yes,female,36,0,2,15.9,S
1001,Upper,No,male,40,0,0,0,S
1002,Upper,Yes,female,39,0,0,211.3375,S
1003,Lower,Yes,male,23,0,0,7.7958,S
1005,Middle,No,male,39,0,0,26,S
1006,Middle,Yes,male,34,0,0,13,S
1008,Upper,Yes,male,30,1,0,57.75,C
1010,Middle,Yes,female,33,1,2,27.75,S
1011,Lower,Yes,female,18,0,0,7.4958,S
1012,Upper,Yes,female,54,1,0,78.2667,C
1013,Middle,No,male,36,0,0,12.875,C
1014,Middle,Yes,female,2,1,1,26,S
1015,Lower,No,male,24,0,0,7.8542,S
1016,Middle,Yes,male,0.6667,1,1,14.5,S
1017,Middle,Yes,female,27,0,0,10.5,S
1018,Lower,No,male,27,0,0,8.6625,S
1019,Lower,No,female,18,0,0,6.75,Q
1022,Lower,No,male,17,1,1,7.2292,C
1023,Upper,Yes,female,63,1,0,77.9583,S
1024,Middle,Yes,female,12,2,1,39,S
1025,Lower,No,male,23,0,0,7.8958,S
1027,Lower,No,male,28,0,0,7.7958,S
1031,Lower,No,male,20,0,0,9.225,S
1033,Lower,No,male,55.5,0,0,8.05,S
1034,Upper,Yes,male,43,1,0,27.7208,C
1035,Upper,No,male,47,0,0,42.4,S
1037,Middle,No,male,28,0,0,10.5,S
1038,Middle,No,male,19,0,0,10.5,S
1039,Middle,No,male,19,1,1,36.75,S
1040,Upper,Yes,female,55,0,0,27.7208,C
1041,Upper,Yes,female,45,1,1,164.8667,S
1044,Lower,No,male,24,0,0,8.05,S
1045,Upper,Yes,male,38,1,0,90,S
1046,Upper,Yes,female,60,1,0,75.25,C
1048,Lower,No,male,25,1,0,7.775,S
1049,Lower,Yes,male,32,0,0,7.775,S
1050,Upper,Yes,female,56,0,1,83.1583,C
1052,Lower,Yes,male,32,0,0,7.5792,S
1053,Lower,No,female,10,5,2,46.9,S
1055,Upper,Yes,female,36,0,2,71,S
1056,Upper,Yes,male,17,0,2,110.8833,C
